YEAR,GEO_ID,NAME,POP,OVERALL,CHILD
2020,310M600US35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",18935783,12.4,16.8
2020,310M600US31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",13017233,13.2,17.9
2020,310M600US16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9319224,11.3,15.5
2020,310M600US19100,"Dallas-Fort Worth-Arlington, TX Metro Area",7363565,11.1,15.8
2020,310M600US26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",6891791,13.5,19.2
2020,310M600US47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6141896,7.6,9.6
2020,310M600US33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",6054955,13.9,18.6
2020,310M600US37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",5941631,11.9,16.1
2020,310M600US12060,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",5847706,11.4,16
2020,310M600US38060,"Phoenix-Mesa-Chandler, AZ Metro Area",4774475,12.7,18.1
2020,310M600US14460,"Boston-Cambridge-Newton, MA-NH Metro Area",4697222,9,10.5
2020,310M600US41860,"San Francisco-Oakland-Berkeley, CA Metro Area",4647691,8.5,9.3
2020,310M600US40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4505412,13.7,18.5
2020,310M600US19820,"Detroit-Warren-Dearborn, MI Metro Area",4271515,13.8,20.3
2020,310M600US42660,"Seattle-Tacoma-Bellevue, WA Metro Area",3869384,8.4,9.9
2020,310M600US33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3547247,8.3,10.6
2020,310M600US41740,"San Diego-Chula Vista-Carlsbad, CA Metro Area",3239995,10.9,13.6
2020,310M600US45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",3105291,13,17.6
2020,310M600US19740,"Denver-Aurora-Lakewood, CO Metro Area",2893167,8.3,10.3
2020,310M600US41180,"St. Louis, MO-IL Metro Area",2745732,10.7,14.7
2020,310M600US12580,"Baltimore-Columbia-Towson, MD Metro Area",2732102,9.8,12.6
2020,310M600US16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2554040,11.1,15.6
2020,310M600US36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2515689,12.8,17.6
2020,310M600US41700,"San Antonio-New Braunfels, TX Metro Area",2468330,14.2,20
2020,310M600US38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2438694,10.1,12.2
2020,310M600US40900,"Sacramento-Roseville-Folsom, CA Metro Area",2305228,12.7,15.8
2020,310M600US38300,"Pittsburgh, PA Metro Area",2266856,10.7,14.1
2020,310M600US29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2202490,13.4,18.7
2020,310M600US17140,"Cincinnati, OH-KY-IN Metro Area",2163880,11.7,15.8
2020,310M600US12420,"Austin-Round Rock-Georgetown, TX Metro Area",2131654,10.2,11.9
2020,310M600US28140,"Kansas City, MO-KS Metro Area",2110728,9.9,13.8
2020,310M600US41980,"San Juan-Bayamón-Caguas, PR Metro Area",2045292,39.2,52.5
2020,310M600US18140,"Columbus, OH Metro Area",2045270,12.7,17.5
2020,310M600US17460,"Cleveland-Elyria, OH Metro Area",2012433,14,20
2020,310M600US26900,"Indianapolis-Carmel-Anderson, IN Metro Area",2007128,11.5,16
2020,310M600US41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1954622,7.2,7.5
2020,310M600US34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1866023,11,15
2020,310M600US47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1697855,10.6,15.8
2020,310M600US39300,"Providence-Warwick, RI-MA Metro Area",1565510,11.3,15.5
2020,310M600US33340,"Milwaukee-Waukesha, WI Metro Area",1547175,13,18.7
2020,310M600US27260,"Jacksonville, FL Metro Area",1504057,12.3,17.3
2020,310M600US36420,"Oklahoma City, OK Metro Area",1363584,13.5,18.1
2020,310M600US39580,"Raleigh-Cary, NC Metro Area",1336251,9.2,12.2
2020,310M600US32820,"Memphis, TN-MS-AR Metro Area",1317156,17.3,27.2
2020,310M600US40060,"Richmond, VA Metro Area",1249833,10.4,14.6
2020,310M600US35380,"New Orleans-Metairie, LA Metro Area",1248960,16.9,24.7
2020,310M600US31140,"Louisville/Jefferson County, KY-IN Metro Area",1234948,12.1,17.4
2020,310M600US41620,"Salt Lake City, UT Metro Area",1199856,8.4,9.7
2020,310M600US25540,"Hartford-East Hartford-Middletown, CT Metro Area",1165073,10,12.9
2020,310M600US15380,"Buffalo-Cheektowaga, NY Metro Area",1099211,13.5,19.1
2020,310M600US13820,"Birmingham-Hoover, AL Metro Area",1065375,13.6,18.3
2020,310M600US24340,"Grand Rapids-Kentwood, MI Metro Area",1042503,10.3,12.5
2020,310M600US40380,"Rochester, NY Metro Area",1032264,13.2,19.6
2020,310M600US46060,"Tucson, AZ Metro Area",1009533,15.9,22.2
